category001;200;product001;400;
category001;200;product002;401;
category001;200;product003;402;
category150;349;product093;45192;
category150;349;product094;45193;
category150;349;product095;45194;
category150;349;product096;45195;
category001;200;product004;403;
category200;399;product006;60105;
category200;399;product007;60106;
category200;399;product008;60107;
category200;399;product009;60108;
category153;352;product157;46156;
category153;352;product158;46157;
category153;352;product159;46158;
category153;352;product160;46159;
category153;352;product161;46160;
